customer_id,customer_name,email,phone,city,signup_date,plan_type,monthly_charges,total_revenue,payment_status,last_payment_date,churn_status,data_usage_gb,call_minutes,complaints_count,region,sales_agent
6178,Sneha,NULL,8624236357,Lucknow,11-05-2020,Standard,996,NULL,UNKNOWN,NULL,YES,NULL,868,4,North,Agent A
5602,Amit,NULL,8316022848,Mumbai,25-04-2020,Premium,379,NULL,FAILED,24-11-2020,YES,3,574,6,East,Agent D
7928,Amit,NULL,9140967548,Lucknow,14-09-2023,Premium,NULL,45690,PAID,19-02-2023,YES,NULL,305,7,West,Agent D
3586,Yash,NULL,7189485907,Delhi,30-03-2022,Premium,NULL,43827,FAILED,09-10-2024,NO,NULL,674,4,North,Agent D
4759,Yash,NULL,7423493170,Delhi,14-10-2021,Premium,852,43035,PAID,26-05-2020,NO,NULL,478,7,West,Agent C
7665,Priya,Invalid,7076011715,Lucknow,20-08-2021,Standard,NULL,NULL,UNKNOWN,NULL,YES,NULL,240,5,East,Agent B
6703,Ankit,NULL,7097863730,Lucknow,25-09-2020,Premium,492,NULL,FAILED,31-03-2020,YES,2,867,7,South,Agent C
7965,Ankit,Invalid,7477708568,Mumbai,21-01-2023,Basic,NULL,NULL,PAID,NULL,YES,30,79,2,West,Agent A
4009,Sneha,NULL,9919572980,Delhi,15-07-2024,Basic,NULL,17725,PAID,25-01-2021,NO,NULL,62,8,East,Agent D
5401,Priya,NULL,8175325416,Delhi,03-07-2024,Basic,NULL,43421,PAID,NULL,YES,21,521,7,North,Agent C
2918,Rahul,NULL,8822698560,Lucknow,05-09-2021,Premium,425,NULL,UNKNOWN,17-10-2023,NO,50,438,9,East,Agent B
6638,Ankit,NULL,7129278558,Lucknow,30-05-2022,Basic,931,NULL,UNKNOWN,NULL,YES,7,748,5,East,Agent C
Dec-18,Priya,NULL,9782551101,Mumbai,14-10-2021,Premium,NULL,NULL,FAILED,05-10-2022,YES,NULL,881,1,South,Agent D
6300,Neha,Invalid,7213665452,Delhi,30-10-2021,Basic,254,29585,UNKNOWN,04-12-2020,NO,21,410,3,West,Agent A
Nov-47,Ankit,NULL,9695828842,Mumbai,21-10-2021,Premium,NULL,NULL,PAID,NULL,YES,NULL,253,3,West,Agent D
5805,Priya,NULL,8002263740,Delhi,10-10-2020,Premium,NULL,NULL,UNKNOWN,NULL,NO,NULL,756,4,West,Agent A
3155,Neha,Invalid,9850511342,Lucknow,25-12-2024,Basic,NULL,NULL,PAID,05-03-2024,YES,NULL,234,4,East,Agent D
873,Priya,NULL,8762773786,Delhi,28-08-2020,Basic,NULL,29711,FAILED,NULL,YES,NULL,548,8,North,Agent D
970,Ankit,NULL,9200492557,Lucknow,07-04-2020,Premium,229,48272,PAID,NULL,YES,26,272,3,North,Agent A
1513,Ankit,NULL,9931435960,Lucknow,31-01-2022,Premium,681,NULL,UNKNOWN,NULL,YES,NULL,535,8,West,Agent D
6360,Rohit,NULL,8679382215,Lucknow,12-01-2021,Premium,201,4650,UNKNOWN,26-09-2021,NO,NULL,777,4,North,Agent A
4425,Rahul,NULL,7602372066,Lucknow,17-08-2020,Premium,389,NULL,FAILED,09-02-2021,NO,49,99,9,South,Agent D
321,Rahul,NULL,7845164039,Mumbai,22-08-2023,Basic,810,NULL,PAID,07-07-2022,NO,11,957,7,West,Agent B
11-Oct,Rahul,NULL,7120302531,Lucknow,29-06-2020,Premium,776,NULL,UNKNOWN,06-01-2024,NO,38,372,3,North,Agent A
4601,Sneha,NULL,7727359668,Lucknow,06-07-2022,Premium,347,NULL,FAILED,10-10-2024,NO,49,827,6,South,Agent A
2826,Sneha,Invalid,9425024281,Lucknow,25-10-2023,Basic,575,NULL,UNKNOWN,25-06-2024,YES,13,142,1,East,Agent D
2026,Ankit,NULL,9974862930,Lucknow,16-10-2023,Premium,499,2350,UNKNOWN,08-06-2021,YES,31,617,7,East,Agent B
4451,Ankit,NULL,9754034591,Mumbai,17-08-2024,Premium,NULL,20418,PAID,NULL,YES,14,357,3,North,Agent A
4778,Rohit,NULL,9990804910,Mumbai,20-05-2024,Basic,NULL,49466,UNKNOWN,NULL,NO,NULL,86,10,South,Agent A
4854,Priya,NULL,8412037555,Lucknow,17-05-2021,Standard,NULL,NULL,UNKNOWN,NULL,NO,6,240,0,West,Agent A
3296,Neha,NULL,7637323502,Lucknow,19-07-2022,Standard,494,41781,PAID,NULL,NO,22,951,7,South,Agent A
2890,Rahul,NULL,9418280757,Lucknow,25-06-2020,Premium,NULL,NULL,UNKNOWN,28-02-2024,NO,NULL,577,6,West,Agent A
